S.no,Project,Year,Lender,$ Allocation,Country,Invested On
65,Gouina Hydropower Project 140MW,2013,CHEXIM,$145M,Mali,Power
66,Gouina Hydropower Project 140MW-Mauritania portion,2013,CHEXIM,$139M,Mauritania,Power
67,N'Djamena 90kV Ring Transmission Line & N'Djamena - Djarmaya Refinery 60kv Transmission Line,2012,CHEXIM,$130M,Chad,Power
68,Hirgigo Thermal Power Plant Upgrade 2X23MW (46MW),2014,CHEXIM,$100M,Eritrea,Power
69,Ha Ramarothole Solar Energy Project Mafeteng Phase I 30 MW,2020,CHEXIM,$79M,Lesotho,Power
70,"259km SORAZ-Zinder et Maradi-Malbaza Transmission Line, 132kV",2013,CHEXIM,$76M,Niger,Power
71,Sokode Electric Transformer Station,2013,CHEXIM,$25M,Togo,Power
72,"90km Nagad-HollHoll-AliSabieh Power Line, 63 KV, Phase II",2016,CHEXIM,$20M,Djibouti,Power
73,Boali No.3 Hydropower Project 10MW,2011,CIDCA,$18M,Central African Republic,Power
74,Financing for Central Electricity Board,2011,CHEXIM,$6M,Mauritius,Power
75,"Goma Hydropower Project Repairs in Dodo chiefdom Kenema District, Guala Village- 4X1.5MW",2004,"China National Electric Engineering Co., Ltd. (CNEEC)",$3M,Sierra Leone,Power
76,Sonangol Development,2011,CDB,$2.0B,Angola,Mining
77,Purchase of 10% Stake in Husab Uranium Mine,2012,Swakop Uranium (SU),$223M,Namibia,Mining
78,Azelik Uranium Mine,2011,CHEXIM,$103M,Niger,Mining
79,Kenya Nationwide Airborne Geophysical Survey,2017,CHEXIM,$68M,Kenya,Mining
80,Zeregbo Gold Mining Development,2001,CHEXIM,$1M,Cote d'Ivoire,Mining
81,Geo-chemical map of Goulmim-Asmara,2002,CIDCA,$1M,Morocco,Mining
82,"Millenium Plan Telecom Project Phase I, II, III",2006,Zhongxing Telecommunication Equipment Corporation (ZTE),$1.9B,Ethiopia,ICT
83,ALCATEL Nigerian Local Government Rural Telephony Project,2002,"Alcatel-Lucent Shanghai Bell Co., Ltd.",$78M,Nigeria,ICT
84,"300,000 CDMA Lines",2007,CHEXIM,$48M,Cameroon,ICT
85,Optic Fibre Cable Phase I,2005,CITIC,$8M,Zambia,ICT
86,TPA Production Center in Camama Construction and Equipping,2005,CHEXIM,$60M,Angola,ICT
87,National Communication Backbone Infrastructural Project Phase I,2006,CHEXIM,$30M,Ghana,ICT
88,National Telecom Phase II,2006,CHEXIM,$63M,Republic of Congo,ICT
89,Rural Telecommunications Development Project,2006,CHEXIM,$25M,Kenya,ICT
90,Coverage for District Landline Telephone Headquarters,2010,CHEXIM,$21M,Mozambique,ICT
91,NetOne Telecom Network Expansion Phase I,2010,CHEXIM,$48M,Zimbabwe,ICT
92,E-government Information Network Phase I,2006,CHEXIM,$50M,Senegal,ICT
93,Establishing Joint-Venture Congo China Telecom,2000,CHEXIM,$10M,Democratic Republic of Congo,ICT
94,Sotelgui Telecoms Equipment and Network Expansion,2005,"Huawei Technologies Co., Ltd.",$33M,Guinea,ICT
95,National ICT Backbone Project (NICTBB) Phase I,2008,CHEXIM,$77M,Tanzania,ICT
96,Fiber Optics and Telecom Modernization Project,2011,CHEXIM,$44M,Mali,ICT
97,CDMA 2000 Telecommunications Network in 27 Municipalities,2007,CHEXIM,$25M,Chad,ICT
98,Rollout of 4G network and transmission system,2018,"Huawei Technologies Co., Ltd.",$200M,Egypt,ICT
99,National Backbone Project,2019,BoC,$77M,Burkina Faso,ICT
100,GSM Mobile Cellular Network and Conventional CDMA Network Extensions,2005,ICBC,$59M,Benin,ICT
101,Telecom Network Expansion Phase 1,2004,CHEXIM,$42M,Togo,ICT
102,Telecommunications Infrastructure,2010,CHEXIM,$32M,Comoros,ICT
103,Maison de la Radiodiffusion Télévision Gabonaise (RTG) headquarter,2007,CIDCA,$4M,Gabon,ICT
104,New Mauritius Broadcasting Corporation (MBC) Headquarters-Tranche 1,2001,CIDCA,$2M,Mauritius,ICT
105,National Backbone Data Transmission Project I,2007,CHEXIM,$31M,Uganda,ICT
106,Fiber-optic Backbone,2013,CHEXIM,$103M,Niger,ICT
107,Grand Bassam E-government Data Center,2007,CHEXIM,$30M,Cote d'Ivoire,ICT
108,"Bujumbara Metropolitan Area Telecom Network, 220km of Optical Fibre",2014,CHEXIM,$15M,Burundi,ICT
109,Sierra Leone Rural and Sub-urban Telecommunication CDMA Network Project,2006,CHEXIM,$17M,Sierra Leone,ICT
110,Mobile and Fixed Network,2005,Zhongxing Telecommunication Equipment Corporation (ZTE),$60M,Central African Republic,ICT
111,Econet Telecom Lesotho National Network Project Phase I,2008,CHEXIM,$30M,Central African Republic,ICT
112,Telecommunications Modernization Project,2020,CHEXIM,$49M,Madagascar,ICT
113,Tunisie Telecom Project - network switches,2004,CHEXIM,$17M,Tunisia,ICT
114,E-government Phase I - National Data Center,2010,CHEXIM,$17M,Cape Verde,ICT
115,National Telecom Mobile Expansion,2003,CHEXIM,$12M,Djibouti,ICT
116,Gambia National Broadband Network Project,2018,CHEXIM,$25M,The Gambia,ICT
117,National Fiber Backbone,2016,CHEXIM,$23M,Malawi,ICT
118,"Asmara, CDMI Telecom Phase I",2006,CHEXIM,$21M,Eritrea,ICT
119,IT system for education and administration,2010,CN Gov,$10M,Sudan,ICT
120,Headquarters for the National Radio and Television Network (RTVGE) in Malabo,2002,CIDCA,$6M,Equatorial Guinea,ICT
121,E-government software (government Record and Management upgrade),2008,CHEXIM,$4M,Namibia,ICT
122,Luanda's Water Supply System,2005,CHEXIM,$40M,Angola,Water
123,Douala Water Supply Project Treatment Plant - Phase I,2007,CHEXIM,$25M,Cameroon,Water
124,Water equipment from Bushan Company,2003,CN Gov,$10M,Sudan,Water
125,Lusaka-Kafue Bulk Water Supply,2016,CHEXIM,$128M,Zambia,Water
126,Abidjan Bonoua Water Supply Phase I,2012,CHEXIM,$97M,Cote d'Ivoire,Water
127,Greater Abuja Water Supply Project,2018,CHEXIM,$389M,Nigeria,Water
128,Malabo Sewage Treatment Project,2009,China Gezhouba Group Corporation (CGGC),$132M,Equatorial Guinea,Water
129,Addis Ababa Deep Well Water Supply Project III,2011,CHEXIM,$96M,Ethiopia,Water
130,Djibouti-Ethiopia Water Pipeline,2013,CHEXIM,$322M,Djibouti,Water
131,Kpong Water Supply Project,2011,CHEXIM,$260M,Ghana,Water
132,"Djiri, Drinking Water Supply Projects",2009,CHEXIM,$259M,Republic of Congo,Water
133,Karimenu Dam Water Supply Project,2017,CHEXIM,$201M,Kenya,Water
134,Harare City Water Reticulation,2012,CHEXIM,$144M,Zimbabwe,Water
135,Plaines Wilhems Sewage Project Phase I,2000,CHEXIM,$18M,Mauritius,Water
136,"Collines Province, Drinking Water Supply",2017,CHEXIM,$93M,Benin,Water
137,"Building and Rehabilitating 251 wells in 13 districts, 1800km pipeline",2016,CHEXIM,$79M,Senegal,Water
138,Potable Water Project Near Zinder,2012,CHEXIM,$50M,Niger,Water
139,Construction Project of the Water Collection and Treatment Unit in Kamina in Katanga,2016,CHEXIM,$10M,Democratic Republic of Congo,Water
140,"Ifrane, Chefchaouen and Al-Hoceima irrigation dam projects, Eximbank tranche, total 6 million",2002,CHEXIM,$6M,Morocco,Water
141,Dodoma Water Project,2002,CIDCA,$4M,Tanzania,Water
142,Mahe Island Sewer & Water System,2007,CHEXIM,$1M,Seychelles,Water
143,Economic Housing Project,2003,CIDCA,$11M,Angola,Other social
144,"Malabo, Bata, and Ruba- 4,800 Units of Social Housing",2007,CHEXIM,$380M,Equatorial Guinea,Other social
145,"""815""/""August 15"" Social Housing Complex - 200 Units",2006,CHEXIM,$45M,Republic of Congo,Other social
146,"Kansonyah Social Housing - 50,000 units",2018,CHEXIM,$255M,Guinea,Other social
147,Friendship Stadium Finishing Stages,2011,CIDCA,$8M,Gabon,Other social
148,"Bingu International Conference Center, The Presidential Hotel and Presidential Villas",2009,CHEXIM,$92M,Malawi,Other social
149,Levy Mwanawasa Stadium in Ndola,2009,CIDCA,$68M,Zambia,Other social
150,Bafoussam Onmisports Stadium (Kouekong Stadium) Construction,2009,CHEXIM,$28M,Cameroon,Other social
151,Concorde Residences Phase II,2010,CHEXIM,$61M,Cote d'Ivoire,Other social
152,Zimpeto National Stadium in Maputo,2008,CIDCA,$70M,Mozambique,Other social
153,Cairo International Convention Center,2006,CHEXIM,$61M,Egypt,Other social
154,Kasane BHC houses - 86 Houses,2000,CHEXIM,$2M,Botswana,Other social
155,"Antananarivo, The Golden Peacock Five-Star Hotel",2007,CHEXIM,$53M,Madagascar,Other social
156,Bunia Stadium,2015,CHEXIM,$10M,Democratic Republic of Congo,Other social
157,Enugu Housing - 72 Units,2017,ICBC,$43M,Nigeria,Other social
158,Low-cost Housing Construction - 1500 Units,2002,CHEXIM,$12M,Mauritius,Other social
159,"Great Wall Apartments Phase I, Lower and Medium Income Family Housing, 528 Apartment Units",2007,CDB,$17M,Kenya,Other social
160,Brilliant Housing - 44 Units,2005,CHEXIM,$1M,Seychelles,Other social
161,Cotonou Conference Center,2001,CIDCA,$16M,Benin,Other social
162,Mwalimu Julius Nyerere Convention Centre,2012,CIDCA,$15M,Tanzania,Other social
163,Barthélemy Boganda Stadium in Bangui,2002,CIDCA,$9M,Central African Republic,Other social
164,Lesotho National Convention Centre Maintenance Project and other social projects,2012,CIDCA,$8M,Lesotho,Other social
165,Gobabis and Grootfontein - 400 Houses,2018,CIDCA,$8M,Namibia,Other social
166,International Conference Hall,2003,CHEXIM,$4M,Sudan,Other social
167,"Cabinda's Integrated Infrastructure, Phase I",2007,CHEXIM,$73M,Angola,Multisector
168,151 Multisector Infrastructure Projects,2016,CDB,$600M,Kenya,Multisector
169,"Machinery Supply for the Mining, Agriculture, Transport & Infrastructure Industries, Phase I",2011,CHEXIM,$100M,Eritrea,Multisector
170,Unknown (equipment),2000,CHEXIM,$7M,Zimbabwe,Multisector
171,KCC Road Unit and Sanitary Equipment,2009,CHEXIM,$10M,Uganda,Multisector
172,SKD Sports Complex Renovations and other projects,2006,CIDCA,$5M,Liberia,Multisector
173,Awassa Textile Plant Equipment Upgrade,2001,CIDCA,$1M,Ethiopia,Industry
174,Baoare Cement Factory,2007,CHEXIM,$96M,Chad,Industry
175,SORAZ Oil Refinery Near Zinder,2008,CHEXIM,$352M,Niger,Industry
176,Solar-powered Milling Plant,2016,CDB,$170M,Zambia,Industry
177,Gedem Cement Factory,2007,CHEXIM,$48M,Eritrea,Industry
178,PK24 Industrial Zone Project in Abidjan Phase 1,2019,BoC,$97M,Cote d'Ivoire,Industry
179,Cement Factory,2000,CHEXIM,$18M,Mali,Industry
180,Chokwe Agro-Processing Complex,2012,CHEXIM,$60M,Mozambique,Industry
181,"Lutete, Cement Factory",2000,CHEXIM,$24M,Republic of Congo,Industry
182,Minibuses for Senbus and Bus assembly Production,2009,CHEXIM,$23M,Senegal,Industry
183,Engineering Equipment (Camco Co.),2005,CHEXIM,$13M,Sudan,Industry
184,Refurbishing of a Polyester Factory owned by Egypt Cotton Holdings Company,2005,CHEXIM,$16M,Egypt,Industry
185,Engineering Machinery; Included in Rehabilitation Process of the State-owned Civil Engineering Equipment Pool (MATGENIE),2010,CHEXIM,$14M,Cameroon,Industry
186,Benin Textile Company JV,2000,CHEXIM,$9M,Benin,Industry
187,"Kisangani, Factory to Build Prefabricated Houses (14,400 sqr m)",2011,CHEXIM,$8M,Democratic Republic of Congo,Industry
188,Northern Tannery and Leather Project,2000,CHEXIM,$1M,Namibia,Industry
189,"Xian MA-60 Airliners Aircrafts Purchase - 2 Units, Harbin Y-12 Cargo Planes Purchase - 12 Units",2006,CHEXIM,$56M,Zambia,Defense
190,Armed Forces and Police Barracks - 40 Units,2003,CIDCA,$4M,Ghana,Defense
191,Military Equipment to MINDEF,2012,CHEXIM,$333M,Cameroon,Defense
192,Military Residential House,2013,CHEXIM,$285M,Tanzania,Defense
193,Purchase of 12 K-8 Jet Trainer Aircraft,2006,China National Aero-Technology Import and Export Corporation (CATIC),$150M,Zimbabwe,Defense
194,Military Equipment,2003,CN Gov,$106M,Sudan,Defense
195,Sierra Leone's National Security Network,2011,CHEXIM,$16M,Sierra Leone,Defense
196,Okahandja Defense Academy Project,2009,CIDCA,$9M,Namibia,Defense
197,New Cairo City Central Business District,2019,"MixedCN: CHEXIM, Industrial and Commercial Bank of China, Bank of China, Minsheng Bank, China CITIC Bank, Construction Bank, Kuwait National Bank, and HSBC",$2.5B,Egypt,Government
198,"Bata, Design/Construction of a New Office Building for the Ministry of Foreign Affairs",2007,CIDCA,$4M,Equatorial Guinea,Government
199,Procurement of Equipment for National Youth Service (NYS),2008,CHEXIM,$57M,Kenya,Government
200,Foreign Ministry Office Building,2001,CIDCA,$11M,Mozambique,Government
201,Luanda Palace of Justice Courthouse,2005,CHEXIM,$37M,Angola,Government
202,"Esplanade in front of the People's Palace in Kinshasa Refurbishment, 24380 sqr m",2009,CHEXIM,$20M,Democratic Republic of Congo,Government
203,Dedicated Security Information System Phase I,2007,CHEXIM,$30M,Ghana,Government
204,Kamwala Government Complex in Lusaka Completion,2002,CIDCA,$8M,Zambia,Government
205,Cotonou Administrative Towers,2010,CHEXIM,$32M,Benin,Government
206,Fire Brigade Equipment,2016,CHEXIM,$32M,Senegal,Government
207,Presidential Palace,2008,CIDCA,$15M,Sudan,Government
208,"Libreville, Omar Bongo Ondimba Palace Senate Building Construction",2001,CIDCA,$7M,Gabon,Government
209,Rwandan State House,2005,CIDCA,$2M,Rwanda,Government
210,SMEs,2012,CDB,$200M,Egypt,Banking
211,"TDB: Telecommunication, Mining, Infrastructure and Other Key Sectors",2008,CDB,$50M,Regional,Banking
212,SMEs,2012,CDB,$25M,Ethiopia,Banking
213,SMEs,2015,CDB,$30M,Zambia,Banking
214,BOAD: Commercial Sector Projects Refinancing,2011,CDB,$78M,Regional,Unallocated
215,Unknown,2000,CIDCA,$3M,Morocco,Unallocated
216,Unknown,2000,CIDCA,$6M,Gabon,Unallocated
217,Unknown,2001,CIDCA,$4M,Sudan,Unallocated
218,"Loan for ""Critical Areas that Need Funds""",2008,CIDCA,$3M,Zimbabwe,Unallocated
219,Economic and Technology Cooperation,2004,CIDCA,$4M,Cameroon,Unallocated
220,Unknown,2003,CIDCA,$4M,Rwanda,Unallocated
221,Unknown,2011,CIDCA,$8M,Mali,Unallocated
222,Unknown,2010,CIDCA,$5M,Ethiopia,Unallocated
223,Construction Project,2001,CIDCA,$2M,Mauritius,Unallocated
224,Unknown,2002,CIDCA,$12M,Egypt,Unallocated
225,Unknown,2008,CIDCA,$3M,Burundi,Unallocated
226,Poverty Alleviation Program,2006,CIDCA,$7M,Mauritania,Unallocated
227,Unknown,2005,CIDCA,$1M,Democratic Republic of Congo,Unallocated
228,Unknow purpose Concessional Loan,2001,CHEXIM,$12M,Zambia,Unallocated
229,"Unknown (""Accelerate Peace Process"")",2005,CIDCA,$2M,Cote d'Ivoire,Unallocated
230,Unknown,2003,CIDCA,$6M,Guinea,Unallocated
231,Unknown,2006,CIDCA,$4M,Benin,Unallocated
232,Unknown,2011,CIDCA,$16M,Uganda,Unallocated
233,Unknown,2006,CIDCA,$10M,Tanzania,Unallocated
234,Unknown,2001,CIDCA,$4M,Republic of Congo,Unallocated
235,Unknown,2009,CIDCA,$4M,Togo,Unallocated
236,Interest-Free Loan,2004,CIDCA,$5M,Equatorial Guinea,Unallocated
237,Economic and Technical Cooperation,2010,CIDCA,$6M,Kenya,Unallocated
238,Unallocated,2001,CIDCA,$2M,Namibia,Unallocated
239,Unknown,2009,CIDCA,$3M,Djibouti,Unallocated
240,Unknown,2010,CIDCA,$2M,Mozambique,Unallocated
241,Economic Cooperation Loan,2002,CIDCA,$3M,Algeria,Unallocated
242,Unknown,2001,CIDCA,$2M,Botswana,Unallocated
243,Unknown,2011,CIDCA,$8M,Lesotho,Unallocated
244,Social and Economic Development Projects,2003,CIDCA,$3M,Central African Republic,Unallocated
245,"Unknown (""Technical Projects"")",2005,CIDCA,$6M,Angola,Unallocated
246,"Unknown, Technical Cooperation",2009,CIDCA,$6M,Ghana,Unallocated
247,Multisectoral Projects,2008,CN Gov,$4M,Madagascar,Unallocated
248,Unknown,2009,CIDCA,$4M,Senegal,Unallocated
249,Unknown,2008,CIDCA,$3M,Cape Verde,Unallocated
250,Unknown,2000,CIDCA,$3M,Tunisia,Unallocated
251,"Agricultural Equipment, Machinery and Tools Purchase",2004,CHEXIM,$20M,Angola,Agriculture
252,New Amri Agricultural Scheme - Merowe Resettlement,2003,CN Gov,$38M,Sudan,Agriculture
253,"Agricultural Equipment, Pesticides, Fertilizer, etc.",2006,CHEXIM,$200M,Zimbabwe,Agriculture
254,Construction of Eleven Coastal Fishing Landing Sites Project,2019,CDB,$186M,Ghana,Agriculture
255,"Agro-processing Centers in Manica (cotton), Tete (cornmeal), Zambeze (rice)",2009,CHEXIM,$30M,Mozambique,Agriculture
256,Integrated Marine Industrial Park and Capital Fishing Port Projects,2019,CHEXIM,$87M,Mauritania,Agriculture
257,Small industrial/farming projects,2005,CIDCA,$6M,Namibia,Agriculture
258,Food Reserve Agency (FRA) Storage Sheds,2009,CHEXIM,$12M,Zambia,Agriculture
259,Bolster foreign exchange reserves,2016,CDB,$900M,Egypt,Budget
260,"TDB: Trade, Project and Infrastructure Finance, Treasury",2017,CHEXIM,$250M,Regional,Budget
261,3-Year Syndicated Term Loan to support foreign currency position - CCB,2001,CCB,$36M,South Africa,Budget
262,Bolster Foreign Exchange Reserves,2015,CDB,$200M,Tanzania,Budget
263,Civil Servant Salaries,2003,CIDCA,$2M,Central African Republic,Budget
264,"Andulo, Bié and Caála, Huambo, Construction of 2 Agrarian Technical Schools",2005,CHEXIM,$41M,Angola,Education
265,FTJ Chiluba University Construction in Mansa,2018,Other CN Financing: Industrial Bank,$191M,Zambia,Education
266,Rehabilitation And Upgrading Of Equipment In The Universities And Technical Training Institutes Project,2011,CHEXIM,$31M,Kenya,Education
267,E-National Higher Education Network,2016,CHEXIM,$135M,Cameroon,Education
268,"Upgrading of Polytechnics, Technical and Vocational Training Centers",2018,CHEXIM,$119M,Ghana,Education
269,Construction and Equipment for Three Professional Traning and Development Centers,2015,CHEXIM,$101M,Gabon,Education
270,"National Science, Technology and Engineering Skills Development Project",2019,CHEXIM,$85M,Uganda,Education
271,"Thyolo, Malawi Science and Technology University",2011,CHEXIM,$79M,Malawi,Education
272,Mpila High School,2013,CHEXIM,$66M,Republic of Congo,Education
273,University Sine Saloum El-Hadj Ibrahima Niass (USSEIN),2018,ICBC,$45M,Senegal,Education
274,Reinfontein National Youth Training Centre phase I,2007,CIDCA,$15M,Namibia,Education
275,Baie Lazare Primary School and Creche Projects,2005,CHEXIM,$1M,Seychelles,Education
276,Interbank Loan,2016,CDB,$700M,Egypt,Business
277,Mpila Commercial Zone (Brazza-Mall),2014,CHEXIM,$62M,Republic of Congo,Business
278,Djibouti Free Trade Zone,2017,China Merchants Port Holdings Company Limited (CMPort),$150M,Djibouti,Business
279,Hotel Luanda Reconstruction,2013,CHEXIM,$20M,Angola,Business
280,"BOAD: Financing for Economic Cooperation, Investment, and Business Cooperation with China",2006,CHEXIM,$92M,Regional,Business
281,Cape Coast Kotokuraba Market Project,2012,CHEXIM,$32M,Ghana,Business
282,"Quatre-Bornes, New Market",2000,CIDCA,$2M,Mauritius,Business
283,Luanda Hospital,2002,CIDCA,$6M,Angola,Health
284,Kenyatta University Teaching and Referral Hospital,2011,CHEXIM,$123M,Kenya,Health
285,Mobile Hospital Project,2010,CHEXIM,$47M,Zambia,Health
286,"Kinshasa, Bed Construction in Hopital du Cinquantenaire - 450 beds (40,000 sqr m)",2008,CHEXIM,$115M,Democratic Republic of Congo,Health
287,"Mahusekwa, Hospital and Supply of Medical Drugs",2010,CIDCA,$2M,Zimbabwe,Health
288,Oyo General Hospital and Hospital Road,2006,CHEXIM,$15M,Republic of Congo,Health
289,6 Health Clinics,2001,CHEXIM,$13M,Morocco,Health
290,"Asmara, Orotta Hospital Construction",2000,CIDCA,$10M,Eritrea,Health
291,Victoria Hospital New Operation Theatre - Loan 1,2009,CIDCA,$6M,Mauritius,Health
292,Douala Gyneco-Obstetric and Pediatric Hospital,2007,CIDCA,$7M,Cameroon,Health
293,"Praia, Agostinho Neto Hospital New Maternity Ward",2006,CIDCA,$3M,Cape Verde,Health
294,"Libreville Friendship Hospital Construction, Franceville Friendship Hospital Repais, Liberville Chinese Medical Camp",2005,CIDCA,$3M,Gabon,Health
295,Non-intrusive Container Scanning Equipment,2009,CHEXIM,$46M,Zambia,Trade
296,Custom Scanning Machines for Namibia Customs and Excise Department,2007,CHEXIM,$44M,Namibia,Trade
